File,aid,Date,2057,2058,2061,2062,2063,2066,2110,2111,2112,2114,2116,2118,2120,2122,2172,2175,2181,2182,2185,2186,2189,2190,2237,2239,2253,2254,2257,2258,2261,2262,2301,2302,2303,2317,2318,2321,2322,2325,2326,2366,2372,2374,2376,2378,2380,2382,2428,2430,2431,2441,2442,2445,2446,2449,2450,2493,2494,2495,2513,2514,2517,2518,2521,2522,2557,2558,2559,3094,3098,3102,3134,3135,3150,3154,3158,3198,3218,3222,3226,3262,3290,3294,3298,3326,3327,3358,3410,3414,3418,3454,3478,3482,3486,3518,3519,3550,3554,3558,3582,3583,4110,4114,4158,4164,4168,4233,4305,4306,4309,4369,4370,4373,5146,5150,5342,5406,34833,34834,34838,34888,34892,34894,34896,34898,34940,34957,34958,34961,34962,34965,34966,35005,35006,35007,35029,35030,35033,35034,35037,35038,35069,35093,35094,35097,35098,35102,35134,35148,35150,35152,35154,35156,35158,35196,35217,35218,35221,35222,35225,35226,35261,35262,35263,35289,35290,35293,35294,35297,35298,35325,35326,35327,35926,35930,35934,35994,35998,36002,36066,36070,36074,36094,36130,36134,36138,36186,36190,36194,36222,36254,36258,36262,36286,36326,36330,36334,36350,36351,37009,37085,37145,38182
_250m_16_days_VI_Quality_2000049_aid0001,aid0001,2000-02-18,,19250.0,,19076.0,,,3343.0,,232.0,,,,,,41.0,,790.0,16.0,,,,,99.0,,315.0,36.0,,,,,8.0,,,,36.0,,,,,8.0,216.0,8.0,,,,,50.0,12.0,,5610.0,126.0,2.0,,,,685.0,,,3495.0,2025.0,17.0,847.0,,,469.0,156.0,,5236.0,3490.0,,588.0,,,,,,,,,,89.0,,,16.0,,,,,,,,27.0,,,,2445.0,424.0,,439.0,,159.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,32.0,,,,,,,,64.0,,,,,,,,,,,,254.0,,,,,,,,,889.0,303.0,284.0,2237.0,,,140.0,130.0,,,,,,,,20.0,12.0,,16.0,,,,,,,,36.0,,,,741.0,1314.0,,72.0,,,,,
_250m_16_days_VI_Quality_2000065_aid0001,aid0001,2000-03-05,,11928.0,,3121.0,,,474.0,,17288.0,,,,,,,,3149.0,,,,,,48.0,,266.0,9.0,,,,,,,,32.0,56.0,,36.0,,,,10060.0,,,,,,,,,7247.0,84.0,9.0,,,,80.0,,,2454.0,928.0,209.0,44.0,,,109.0,12.0,,4680.0,689.0,,276.0,,342.0,,,,1621.0,,,,347.0,,,,,,129.0,,,,1696.0,,,,,2283.0,89.0,,40.0,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,179.0,,,,,,,,,57.0,,,,,,,,28.0,,114.0,,1.0,526.0,,,,,,,1095.0,,43.0,,,,44.0,,,1642.0,421.0,542.0,138.0,,,164.0,8.0,,,,,24.0,,,28.0,,,,,8.0,,,,,,421.0,,,,752.0,357.0,,32.0,,,,,
_250m_16_days_VI_Quality_2000081_aid0001,aid0001,2000-03-21,28.0,1113.0,,421.0,,,24.0,,16278.0,,35712.0,,,,2512.0,,2051.0,,1261.0,,,,178.0,,68.0,4.0,,4.0,,,8.0,,,,20.0,16.0,,,,,1993.0,,925.0,64.0,,,94.0,,,2010.0,,358.0,,,,113.0,,,234.0,4.0,88.0,28.0,,,25.0,4.0,,197.0,201.0,,24.0,,,6208.0,,203.0,8.0,247.0,,4.0,24.0,29.0,,,,,,316.0,,28.0,8.0,212.0,,4.0,,52.0,16.0,,,,,,,,,,,,,,,,,,,,,,,61.0,201.0,,,,20.0,122.0,,13.0,,,,8.0,,,12.0,,48.0,,,,12.0,,4.0,4.0,,,,748.0,,76.0,24.0,,,32.0,980.0,,253.0,,,,16.0,,,82.0,,108.0,,,,8.0,,,,62.0,,,16.0,,,,,,,,,,69.0,,,,77.0,,12.0,8.0,8.0,,,,,,,
_250m_16_days_VI_Quality_2000097_aid0001,aid0001,2000-04-06,,14703.0,,14787.0,,,718.0,,3351.0,,,24.0,,,84.0,,1921.0,241.0,500.0,,,,273.0,,122.0,60.0,93.0,133.0,,,,20.0,,,93.0,,,,,,999.0,,,,,,48.0,,,4409.0,923.0,475.0,584.0,,,319.0,92.0,,1159.0,1126.0,265.0,850.0,,,,54.0,,6241.0,2536.0,,76.0,,24.0,105.0,,,154.0,420.0,,12.0,64.0,40.0,,,,,12.0,12.0,,,757.0,1258.0,,36.0,,1340.0,407.0,,20.0,,22.0,,,,,,,,,,,,,,,,,,,1349.0,,,,,120.0,606.0,112.0,,,,,45.0,12.0,,30.0,,96.0,,,,,,92.0,,,,4.0,1175.0,44.0,,,,,28.0,3858.0,392.0,504.0,138.0,,,189.0,100.0,,971.0,573.0,484.0,538.0,,,8.0,12.0,,32.0,,,159.0,73.0,,17.0,24.0,,,,,,112.0,20.0,,12.0,959.0,310.0,,100.0,878.0,333.0,,32.0,,,,,
_250m_16_days_VI_Quality_2000113_aid0001,aid0001,2000-04-22,,,,,,,,,68805.0,,8.0,,,,7581.0,,65.0,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000129_aid0001,aid0001,2000-05-08,,,,,,,,,69009.0,,20.0,,,,7442.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000145_aid0001,aid0001,2000-05-24,,,,,,,,,70116.0,,,,,,6383.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000161_aid0001,aid0001,2000-06-09,,,,,,,,,75234.0,,166.0,,,,1019.0,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000177_aid0001,aid0001,2000-06-25,,,,,,,,,69122.0,,,,,,7381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000193_aid0001,aid0001,2000-07-11,,,,,,,,,76183.0,,8.0,,,,,,304.0,,4.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000209_aid0001,aid0001,2000-07-27,,,,,,,,,68557.0,,12.0,,,,7414.0,,448.0,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000225_aid0001,aid0001,2000-08-12,,,,,,,,,68796.0,,3250.0,,,,4421.0,,24.0,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000241_aid0001,aid0001,2000-08-28,,,,,,,,,70028.0,,1138.0,,,,,,5080.0,,85.0,,,,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000257_aid0001,aid0001,2000-09-13,,,,,,,,,51792.0,,10266.0,,,,,,13497.0,,885.0,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000273_aid0001,aid0001,2000-09-29,26.0,1168.0,,93.0,,,131.0,,16801.0,,63.0,,,,1873.0,,43765.0,,127.0,,,,5181.0,,1685.0,,33.0,,,,233.0,,,,,,,,,,24.0,,,,,,,,,3114.0,,64.0,,,,259.0,,,714.0,4.0,129.0,4.0,,,92.0,,,68.0,12.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,271.0,,,,,,73.0,,,28.0,,,,,,,,,,,,,,,,,,,,266.0,,8.0,,,,44.0,,,76.0,,17.0,4.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000289_aid0001,aid0001,2000-10-15,,6090.0,,5423.0,,,714.0,,,,,,,,,,8.0,,,,,,,,9706.0,,11935.0,305.0,,,1921.0,,,,40.0,,,,,4.0,,,,,,,,,,48.0,,,,,,,,,11216.0,246.0,5210.0,759.0,,,1577.0,20.0,,1274.0,1222.0,,168.0,,,,,,,,,,1331.0,2714.0,,32.0,,,,,,,,,,,,2668.0,1390.0,,107.0,,22.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.0,,827.0,34.0,,,80.0,,,,4.0,,,,,,,,,,24.0,,,,,,8.0,,,4352.0,52.0,2283.0,261.0,,,820.0,4.0,,,,,,,,4.0,286.0,,,,4.0,,,,,,,,,,176.0,443.0,,13.0,,,,,
_250m_16_days_VI_Quality_2000305_aid0001,aid0001,2000-10-31,,1323.0,,76.0,,,,,40.0,,,,,,,,33392.0,16.0,,,,,,,14949.0,115.0,,699.0,,,,,,,,,,,,,,,,,,,,,,11342.0,,,,,,,,,8488.0,34.0,4.0,65.0,,,,,,343.0,4.0,,,,,,,,12.0,,,,3410.0,113.0,,,,,,,,,24.0,,,,,692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.0,,,,,,,,,88.0,20.0,,18.0,,,,,,,,,,,,,,,,,328.0,,,,,,,,,547.0,12.0,,38.0,,,,,,,,,,,,22.0,6.0,,,,,,,,,,,,,,32.0,,,,,,,,
_250m_16_days_VI_Quality_2000321_aid0001,aid0001,2000-11-16,,1660.0,,556.0,,,,,56879.0,,50.0,,,,,,5814.0,,1104.0,,,,,,232.0,,615.0,,,,,,,,,,,,,,932.0,,,,,,,,,4595.0,,37.0,,,,,,,822.0,35.0,346.0,65.0,,,,,,271.0,277.0,,,,,,,,,8.0,,,12.0,114.0,,,,,,,,,,8.0,,,,28.0,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,4.0,,,,,,,49.0,,158.0,,,,,,,,,,,,,,,,,,24.0,,65.0,,,,,,,537.0,24.0,573.0,21.0,,,,,,,,,,,,,136.0,,,,,,,,,,,,,,53.0,100.0,,,,,,,
