File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_006__250m_16_days_NDVI_doy2000049_aid0001,_250m_16_days_NDVI,aid0001,2000-02-18,75210.0,-0.0716,0.9995,"(-0.0716,0.9995)",0.3993807,0.2355629,0.0554899,0.5707,0.9995,0.4084,-0.0716,0.2029
MOD13Q1_006__250m_16_days_NDVI_doy2000065_aid0001,_250m_16_days_NDVI,aid0001,2000-03-05,75884.0,-0.011,0.9992,"(-0.011,0.9992)",0.5568337,0.2083997,0.0434304,0.7229,0.9992,0.5752,0.0066,0.4363
MOD13Q1_006__250m_16_days_NDVI_doy2000081_aid0001,_250m_16_days_NDVI,aid0001,2000-03-21,76411.0,0.0167,0.9954,"(0.0167,0.9954)",0.6497888,0.1358511,0.0184555,0.7646,0.9954,0.6641,0.2419,0.5555
MOD13Q1_006__250m_16_days_NDVI_doy2000097_aid0001,_250m_16_days_NDVI,aid0001,2000-04-06,75685.0,0.005,0.9993,"(0.005,0.9993)",0.5066092,0.2066721,0.0427134,0.6562,0.9993,0.5194,0.005,0.3737
MOD13Q1_006__250m_16_days_NDVI_doy2000113_aid0001,_250m_16_days_NDVI,aid0001,2000-04-22,76503.0,0.0887,0.899,"(0.0887,0.899)",0.6107267,0.1495072,0.0223524,0.7522,0.899,0.6071,0.0887,0.4806
MOD13Q1_006__250m_16_days_NDVI_doy2000129_aid0001,_250m_16_days_NDVI,aid0001,2000-05-08,76488.0,0.1908,0.9684,"(0.1908,0.9684)",0.6034315,0.1441118,0.0207682,0.7372,0.9684,0.5986,0.1908,0.4792
MOD13Q1_006__250m_16_days_NDVI_doy2000145_aid0001,_250m_16_days_NDVI,aid0001,2000-05-24,76503.0,0.1728,0.9463,"(0.1728,0.9463)",0.5890405,0.1514846,0.0229476,0.7265,0.9463,0.5855,0.1728,0.4602
MOD13Q1_006__250m_16_days_NDVI_doy2000161_aid0001,_250m_16_days_NDVI,aid0001,2000-06-09,76481.0,0.1615,0.9839,"(0.1615,0.9839)",0.5696179,0.1482075,0.0219655,0.6974,0.9839,0.5674,0.1615,0.4469
MOD13Q1_006__250m_16_days_NDVI_doy2000177_aid0001,_250m_16_days_NDVI,aid0001,2000-06-25,76495.0,0.1465,0.9207,"(0.1465,0.9207)",0.529136,0.1574481,0.0247899,0.6608,0.9207,0.5267,0.1465,0.4022
MOD13Q1_006__250m_16_days_NDVI_doy2000193_aid0001,_250m_16_days_NDVI,aid0001,2000-07-11,76499.0,0.1349,0.9026,"(0.1349,0.9026)",0.5263912,0.1546619,0.0239203,0.6515,0.9026,0.5267,0.1349,0.4046
MOD13Q1_006__250m_16_days_NDVI_doy2000209_aid0001,_250m_16_days_NDVI,aid0001,2000-07-27,76503.0,0.1537,0.8623,"(0.1537,0.8623)",0.5082914,0.1459927,0.0213139,0.6245,0.8623,0.5064,0.1537,0.3942
MOD13Q1_006__250m_16_days_NDVI_doy2000225_aid0001,_250m_16_days_NDVI,aid0001,2000-08-12,76503.0,0.1492,0.9083,"(0.1492,0.9083)",0.51198,0.1447055,0.0209397,0.6226,0.9083,0.5154,0.1492,0.4012
MOD13Q1_006__250m_16_days_NDVI_doy2000241_aid0001,_250m_16_days_NDVI,aid0001,2000-08-28,76503.0,0.1563,0.9139,"(0.1563,0.9139)",0.4890131,0.1408025,0.0198253,0.5945,0.9139,0.4882,0.1563,0.3796
MOD13Q1_006__250m_16_days_NDVI_doy2000257_aid0001,_250m_16_days_NDVI,aid0001,2000-09-13,76503.0,0.1678,0.9983,"(0.1678,0.9983)",0.5252792,0.1378131,0.0189925,0.6333,0.9475,0.5263,0.1678,0.4188
MOD13Q1_006__250m_16_days_NDVI_doy2000273_aid0001,_250m_16_days_NDVI,aid0001,2000-09-29,76479.0,0.0194,0.9839,"(0.0194,0.9839)",0.5398965,0.1552603,0.0241057,0.6664,0.9839,0.5364,0.039,0.4152
MOD13Q1_006__250m_16_days_NDVI_doy2000289_aid0001,_250m_16_days_NDVI,aid0001,2000-10-15,75956.0,-0.0152,0.9986,"(-0.0152,0.9986)",0.5029893,0.1921524,0.0369226,0.6503,0.9986,0.5148,0.0058,0.3854
MOD13Q1_006__250m_16_days_NDVI_doy2000305_aid0001,_250m_16_days_NDVI,aid0001,2000-10-31,76436.0,0.0387,0.9977,"(0.0387,0.9977)",0.566723,0.1521423,0.0231473,0.6939,0.9977,0.56165,0.0771,0.446
MOD13Q1_006__250m_16_days_NDVI_doy2000321_aid0001,_250m_16_days_NDVI,aid0001,2000-11-16,76373.0,0.0173,0.9986,"(0.0173,0.9986)",0.5942351,0.1497776,0.0224333,0.7244,0.9986,0.5922,0.0997,0.4743
MOD13Q1_006__250m_16_days_NDVI_doy2000337_aid0001,_250m_16_days_NDVI,aid0001,2000-12-02,75938.0,-0.0112,0.9987,"(-0.0112,0.9987)",0.5300221,0.203846,0.0415532,0.689,0.9987,0.5508,-0.0112,0.3856
MOD13Q1_006__250m_16_days_NDVI_doy2000353_aid0001,_250m_16_days_NDVI,aid0001,2000-12-18,76503.0,0.0709,0.9993,"(0.0709,0.9993)",0.6472159,0.1425529,0.0203213,0.7749,0.9993,0.6481,0.1665,0.5315
MOD13Q1_006__250m_16_days_NDVI_doy2001001_aid0001,_250m_16_days_NDVI,aid0001,2001-01-01,76353.0,0.0396,0.9995,"(0.0396,0.9995)",0.6302909,0.1465424,0.0214747,0.7522,0.9995,0.6296,0.1911,0.5277
MOD13Q1_006__250m_16_days_NDVI_doy2001017_aid0001,_250m_16_days_NDVI,aid0001,2001-01-17,74772.0,-0.0071,0.9993,"(-0.0071,0.9993)",0.5023389,0.2185565,0.0477669,0.667,0.9993,0.51915,-0.0071,0.3505
MOD13Q1_006__250m_16_days_NDVI_doy2001033_aid0001,_250m_16_days_NDVI,aid0001,2001-02-02,76054.0,0.0058,0.9969,"(0.0058,0.9969)",0.5872493,0.1824833,0.0333002,0.7352,0.9969,0.59,0.0786,0.4725
MOD13Q1_006__250m_16_days_NDVI_doy2001049_aid0001,_250m_16_days_NDVI,aid0001,2001-02-18,76128.0,0.0082,0.9942,"(0.0082,0.9942)",0.5593656,0.1938226,0.0375672,0.703325,0.9942,0.5868,0.1196,0.4698
MOD13Q1_006__250m_16_days_NDVI_doy2001065_aid0001,_250m_16_days_NDVI,aid0001,2001-03-06,76041.0,0.0074,0.9985,"(0.0074,0.9985)",0.5759784,0.170135,0.0289459,0.7141,0.9985,0.584,0.0917,0.4651
MOD13Q1_006__250m_16_days_NDVI_doy2001081_aid0001,_250m_16_days_NDVI,aid0001,2001-03-22,76383.0,0.0076,0.9989,"(0.0076,0.9989)",0.4837354,0.1835384,0.0336864,0.6275,0.9989,0.4768,0.0076,0.3556
MOD13Q1_006__250m_16_days_NDVI_doy2001097_aid0001,_250m_16_days_NDVI,aid0001,2001-04-07,75866.0,-0.0073,0.9983,"(-0.0073,0.9983)",0.5739692,0.184022,0.0338641,0.715,0.9983,0.586,0.0876,0.464
MOD13Q1_006__250m_16_days_NDVI_doy2001113_aid0001,_250m_16_days_NDVI,aid0001,2001-04-23,76503.0,0.1746,0.9419,"(0.1746,0.9419)",0.6149493,0.1335061,0.0178239,0.7349,0.9419,0.6132,0.1746,0.5047
MOD13Q1_006__250m_16_days_NDVI_doy2001129_aid0001,_250m_16_days_NDVI,aid0001,2001-05-09,76322.0,0.0174,0.9992,"(0.0174,0.9992)",0.6166015,0.1531662,0.0234599,0.749,0.9992,0.6224,0.1394,0.5051
MOD13Q1_006__250m_16_days_NDVI_doy2001145_aid0001,_250m_16_days_NDVI,aid0001,2001-05-25,76501.0,0.1751,0.9773,"(0.1751,0.9773)",0.586428,0.1400588,0.0196165,0.7101,0.9773,0.5843,0.1751,0.4687
MOD13Q1_006__250m_16_days_NDVI_doy2001161_aid0001,_250m_16_days_NDVI,aid0001,2001-06-10,76503.0,0.1695,0.8673,"(0.1695,0.8673)",0.595736,0.1392213,0.0193826,0.7192,0.8673,0.5931,0.1695,0.482
MOD13Q1_006__250m_16_days_NDVI_doy2001177_aid0001,_250m_16_days_NDVI,aid0001,2001-06-26,76503.0,0.1356,0.8854,"(0.1356,0.8854)",0.5290117,0.159352,0.0253931,0.6605,0.8854,0.5274,0.1356,0.4055
MOD13Q1_006__250m_16_days_NDVI_doy2001193_aid0001,_250m_16_days_NDVI,aid0001,2001-07-12,76492.0,0.1368,0.896,"(0.1368,0.896)",0.5120043,0.155519,0.0241862,0.6348,0.896,0.51,0.1368,0.3942
MOD13Q1_006__250m_16_days_NDVI_doy2001209_aid0001,_250m_16_days_NDVI,aid0001,2001-07-28,76503.0,0.1386,0.8772,"(0.1386,0.8772)",0.4885101,0.1502281,0.0225685,0.6027,0.8772,0.4849,0.1386,0.3751
MOD13Q1_006__250m_16_days_NDVI_doy2001225_aid0001,_250m_16_days_NDVI,aid0001,2001-08-13,76503.0,0.1316,0.9872,"(0.1316,0.9872)",0.4590734,0.1427815,0.0203866,0.5603,0.8665,0.4565,0.1316,0.35365
MOD13Q1_006__250m_16_days_NDVI_doy2001241_aid0001,_250m_16_days_NDVI,aid0001,2001-08-29,76503.0,0.1168,0.9344,"(0.1168,0.9344)",0.4734999,0.1351633,0.0182691,0.5703,0.86,0.4789,0.1168,0.3755
MOD13Q1_006__250m_16_days_NDVI_doy2001257_aid0001,_250m_16_days_NDVI,aid0001,2001-09-14,76485.0,0.0559,0.9867,"(0.0559,0.9867)",0.4797465,0.1478337,0.0218548,0.5882,0.9196,0.4844,0.0559,0.3664
MOD13Q1_006__250m_16_days_NDVI_doy2001273_aid0001,_250m_16_days_NDVI,aid0001,2001-09-30,76069.0,-0.0371,0.9991,"(-0.0371,0.9991)",0.4620616,0.1626144,0.0264434,0.5769,0.9216,0.4656,0.0159,0.3464
MOD13Q1_006__250m_16_days_NDVI_doy2001289_aid0001,_250m_16_days_NDVI,aid0001,2001-10-16,76175.0,0.0177,0.9993,"(0.0177,0.9993)",0.513327,0.1463661,0.021423,0.6181,0.921,0.5192,0.113,0.416
MOD13Q1_006__250m_16_days_NDVI_doy2001305_aid0001,_250m_16_days_NDVI,aid0001,2001-11-01,76476.0,0.0398,0.986,"(0.0398,0.986)",0.5872152,0.1301487,0.0169387,0.6944,0.986,0.5866,0.1637,0.4807
